,Unnamed: 0,Name,Style,StyleID,ABV,IBU,Color,Simple_style,Style_color,Style_ibu
8455,12817,Rhyme & reason stout,American Stout,12,7.2,61.27,50.0,Stout/Porter,5,4
41839,66918,Kleivens Orval,Belgian Dark Strong Ale,21,8.01,62.59,15.3,Strong Ale,3,3
15584,24193,Pilsen II,Bohemian Pilsener,31,5.31,28.0,5.58,Pale Lager/Blonde Ale,1,1
18022,28117,Plus Equal Minus,American Pale Ale,10,5.74,41.7,6.32,Pale Ale,2,5
17481,27247,Stumbler's IPA,American IPA,7,6.38,64.83,9.46,Pale Ale,2,5
13018,20106,Cascade Single Hope Ale,American Pale Ale,10,4.9,40.54,5.77,Pale Ale,2,5
37190,59287,2-Row/Amarillo SMaSH,American Pale Ale,10,5.5,37.09,9.2,Pale Ale,2,5
34331,54732,Epic Garage IPA,American IPA,7,5.74,47.42,6.05,Pale Ale,2,5
44717,71716,Vivaldi II,Saison,134,5.92,30.0,5.0,Pale Ale,2,5
2794,3999,Gash's IPA,American IPA,7,5.87,53.82,8.98,Pale Ale,2,5
22537,35574,Hop Thief clone,American Pale Ale,10,4.23,30.0,5.0,Pale Ale,2,5
42081,67303,Saison w/ brett,American Light Lager,9,6.35,25.71,3.36,Pale Lager/Blonde Ale,1,1
40657,64990,Bloody IPA,American IPA,7,6.94,71.15,6.75,Pale Ale,2,5
31708,50538,Tap Banger,Imperial IPA,86,7.91,81.58,5.0,Pale Ale,2,5
7719,11632,American Pale Ale - Jeremiah Hoffman,American Pale Ale,10,5.55,63.67,6.79,Pale Ale,2,5
18867,29498,Rutaceae,American IPA,7,7.32,71.24,5.0,Pale Ale,2,5
22481,35475,Gaelica,Premium American Lager,124,5.21,17.12,5.28,Pale Lager/Blonde Ale,1,1
12897,19916,Über Amber,American Amber Ale,4,5.57,32.97,13.72,Pale Ale,2,5
31608,50371,Phantom Paw Pale Ale 12,American Pale Ale,10,5.55,75.67,5.0,Pale Ale,2,5
34974,55762,Pale Ale with Koriander,American Pale Ale,10,5.83,33.06,9.15,Pale Ale,2,5
3821,5517,Blond Nelson Ale,Blonde Ale,30,4.8,23.73,4.99,Pale Lager/Blonde Ale,1,1
17448,27193,Ze fancy SauViGnoN MoSaIC,American IPA,7,6.18,52.83,6.39,Pale Ale,2,5
21152,33222,Blazing World (Clone  w/Brett),American Amber Ale,4,6.03,67.38,12.29,Pale Ale,2,5
12822,19792,Cure For Pain Ryewine,English Barleywine,63,11.54,46.02,10.43,Strong Ale,3,3
7088,10617,Cascarillo IPA,American IPA,7,5.58,90.0,13.29,Pale Ale,2,5
9239,14081,SMaSH Pale Ale-Cascade,American Pale Ale,10,5.34,38.99,5.31,Pale Ale,2,5
38375,61237,Hallertau Back Girl,American IPA,7,6.25,49.12,6.13,Pale Ale,2,5
27318,43324,Strong Lager,American Light Lager,9,4.95,28.0,4.09,Pale Lager/Blonde Ale,1,1
26689,42299,2016-02-24 PALE ALE (Citra single hop),American Pale Ale,10,5.55,36.25,6.65,Pale Ale,2,5
31941,50911,SNOWBIRD I.P.A. 04 -- ??????????,American IPA,7,6.33,66.52,6.02,Pale Ale,2,5
12667,19539,Columbus ipa,English IPA,65,7.47,81.3,7.4,Pale Ale,2,5
27070,42905,Orange You Glad,American IPA,7,7.27,86.28,8.96,Pale Ale,2,5
32637,52021,Second Breakfast,Oatmeal Stout,114,4.76,24.89,33.81,Stout/Porter,5,4
36489,58201,LSB #3,Extra Special/Strong Bitter (ESB),68,4.71,30.0,15.0,Pale Ale,2,5
26378,41781,Last Minute Amber,American Amber Ale,4,5.33,30.0,15.0,Pale Ale,2,5
4309,6217,God Save the Queen - English Bitter,Ordinary Bitter,118,4.15,35.49,5.0,Pale Ale,2,5
41105,65699,Dusty,American Barleywine,5,10.92,68.56,17.23,Strong Ale,3,3
19290,30198,Mörk lättöl,American Brown Ale,6,2.14,29.44,25.22,Brown Ale,4,2
2646,3770,OH GOOD LORD IPA,American IPA,7,9.91,97.25,8.58,Pale Ale,2,5
12202,18817,Igloo Czechmate Pilsner,Czech Premium Pale Lager,50,4.56,28.0,3.72,Pale Lager/Blonde Ale,1,1
27203,43133,CRISPY SMASH CENTENNIAL,American Pale Ale,10,7.13,45.69,5.0,Pale Ale,2,5
20835,32718,Gmb2017 lager,International Pale Lager,90,5.01,22.94,5.25,Pale Lager/Blonde Ale,1,1
24591,38899,Saison: summer saison,Saison,134,5.05,40.4,5.0,Pale Ale,2,5
29131,46262,Maduro clone,American Brown Ale,6,5.41,29.78,27.27,Brown Ale,4,2
6421,9515,Major's Hopalong IPA,American IPA,7,6.2,68.71,6.39,Pale Ale,2,5
25499,40411,1 pome saaz it all,Witbier,175,6.6,17.13,6.0,Wheat,0,0
20990,32970,Janet's Treat,Brown Porter,37,4.53,36.03,32.85,Stout/Porter,5,4
14103,21830,Awesome Recipe IPA,American IPA,7,7.03,74.21,6.61,Pale Ale,2,5
4661,6710,Mosaic/Galaxy New England DIPA,Double IPA,56,7.96,54.58,6.58,Pale Ale,2,5
13513,20888,Tropical Pale Ale,American Pale Ale,10,6.67,50.18,6.2,Pale Ale,2,5
30781,48966,Juergens's IPA,American IPA,7,6.66,95.14,15.0,Pale Ale,2,5
12578,19404,Marzen NHC07 3.5g,Oktoberfest/Märzen,115,5.51,22.58,6.0,Pale Lager/Blonde Ale,1,1
19674,30812,031216 Bohemian pils,Bohemian Pilsener,31,5.48,28.0,5.08,Pale Lager/Blonde Ale,1,1
15604,24218,Xtra Pale Ale,American Pale Ale,10,5.71,58.5,5.77,Pale Ale,2,5
21157,33229,Zax LACTOSE IPA,American Light Lager,9,6.4,28.0,6.0,Pale Lager/Blonde Ale,1,1
38738,61829,Leftover Virgin Bottomshelf 21,American Light Lager,9,6.4,17.82,6.0,Pale Lager/Blonde Ale,1,1
23136,36535,Baltu porteris,Baltic Porter,19,7.09,29.0,49.97,Stout/Porter,5,4
38422,61316,Spartan Series - Nature Boy,Double IPA,56,8.0,90.0,5.74,Pale Ale,2,5
35463,56567,Ovation Pilsner,Czech Premium Pale Lager,50,5.07,28.0,4.07,Pale Lager/Blonde Ale,1,1
29421,46707,Porty McPortface,American Porter,11,5.82,44.0,33.25,Stout/Porter,5,4
20098,31531,Pilot - English IPA,English IPA,65,6.83,68.84,12.02,Pale Ale,2,5
28668,45517,Robotic Ordinary Bitter,Ordinary Bitter,118,4.14,33.02,9.19,Pale Ale,2,5
43441,69623,"12° ""ALE""",Extra Special/Strong Bitter (ESB),68,4.73,50.27,5.0,Pale Ale,2,5
37918,60483,Tupolew,American IPA,7,5.58,90.0,5.0,Pale Ale,2,5
12359,19065,Tim Anderson swartzbier,Schwarzbier,135,5.07,26.65,18.83,Stout/Porter,5,4
3846,5556,Kiwi Express IPA (Northern Brewer),American IPA,7,5.51,65.78,7.8,Pale Ale,2,5
22679,35803,Pliney the Elder Clone,Double IPA,56,7.67,90.0,5.43,Pale Ale,2,5
13540,20935,Pale Ale Midsommar,American Pale Ale,10,6.45,30.0,5.0,Pale Ale,2,5
31814,50703,Lui pale,Strong Bitter,159,5.17,34.68,7.09,Pale Ale,2,5
9631,14749,Big Kings Cream Ale,Cream Ale,45,6.37,28.0,3.47,Pale Lager/Blonde Ale,1,1
16712,26001,Too Hoppy,Bohemian Pilsener,31,6.14,28.0,4.08,Pale Lager/Blonde Ale,1,1
20555,32256,Use The Schwarz,Schwarzbier,135,5.2,27.37,27.48,Stout/Porter,5,4
34471,54951,OotsaPogo Monster IPA,American IPA,7,11.0,92.48,6.59,Pale Ale,2,5
15299,23713,Kitchen Sink,American Stout,12,5.2,53.24,40.0,Stout/Porter,5,4
19402,30374,13. Ching Ching 270716,Blonde Ale,30,5.72,28.0,6.0,Pale Lager/Blonde Ale,1,1
43377,69518,Weiss Bier Alvorada,Weizen/Weissbier,170,5.14,13.84,3.34,Wheat,0,0
25269,40024,28 Pils med Per,German Pils,80,5.27,28.0,3.96,Pale Lager/Blonde Ale,1,1
34648,55245,Abbey Ale 2017,Belgian Dubbel,22,6.0,65.85,13.61,Strong Ale,3,3
27755,44049,WC IPA,American IPA,7,6.17,62.76,6.95,Pale Ale,2,5
3261,4689,Brew Like a Homebrewer,Belgian Dark Strong Ale,21,10.47,31.94,20.79,Strong Ale,3,3
12526,19327,Sorachi Ace - LOLLIHOP!,American Pale Ale,10,5.18,32.13,5.0,Pale Ale,2,5
31294,49827,Fat Man Dark Ale,American Porter,11,5.81,19.84,17.58,Stout/Porter,5,4
34154,54442,3P Poletni,American Pale Ale,10,4.45,30.0,5.0,Pale Ale,2,5
37565,59916,Nutty Professor Ale,American Brown Ale,6,5.08,37.55,21.77,Brown Ale,4,2
39997,63883,Mangapa cravo e canela,American Pale Ale,10,6.45,35.17,14.31,Pale Ale,2,5
34122,54398,Pilanesberg Pilsner,Bohemian Pilsener,31,5.39,28.0,3.41,Pale Lager/Blonde Ale,1,1
34389,54828,Signe de printemps,Saison,134,6.08,30.0,5.0,Pale Ale,2,5
37241,59374,Yeast Side - NEIPA #1,American IPA,7,5.83,30.0,5.0,Pale Ale,2,5
3867,5585,Bakke Brygg SommerAle 20 l,Blonde Ale,30,4.8,26.95,3.38,Pale Lager/Blonde Ale,1,1
20543,32241,New Single Hop IPA,American IPA,7,6.7,78.76,9.56,Pale Ale,2,5
6023,8888,Kid Lucky,American Pale Ale,10,5.8,46.24,13.75,Pale Ale,2,5
29449,46755,All wet IPA,American IPA,7,5.3,76.26,5.59,Pale Ale,2,5
27784,44103,Bill's Big Sky Moose Drool Clone,American Brown Ale,6,5.09,27.35,24.92,Brown Ale,4,2
15040,23318,Groomsmen Grenade Imperial Stout,Russian Imperial Stout,132,10.79,77.22,50.0,Stout/Porter,5,4
11091,17061,Jake Saison (Nelson  Santiam  Wakatu  Haller...,Saison,134,5.4,30.0,5.0,Pale Ale,2,5
37449,59720,Test Ale,Belgian Pale Ale,24,6.31,30.0,8.87,Pale Ale,2,5
13472,20826,Black wheat ipa,American IPA,7,6.22,52.07,15.0,Pale Ale,2,5
30963,49255,Bob's Light Hearted IPA,American IPA,7,6.49,60.16,5.0,Pale Ale,2,5
31866,50779,Lam-son,Belgian Pale Ale,24,5.97,30.0,5.0,Pale Ale,2,5
15062,23351,Yo Mama's Big Fat Booty Black Ale,American Brown Ale,6,6.41,35.37,36.09,Brown Ale,4,2
19717,30878,Industrial run off,American Stout,12,6.61,43.88,40.63,Stout/Porter,5,4
40523,64749,Impasse BC - Festive IPA,American IPA,7,5.86,81.55,7.03,Pale Ale,2,5
42148,67418,Fear and Doubt Oatmeal Stout,Oatmeal Stout,114,6.46,36.25,40.18,Stout/Porter,5,4
7591,11431,Red IPA #2,American IPA,7,6.18,77.93,15.0,Pale Ale,2,5
7506,11286,Founders Breakfast Stout,American Stout,12,7.8,72.85,50.0,Stout/Porter,5,4
21262,33404,Brett Sour Beer,Berliner Weisse,27,6.27,10.16,5.01,Wheat,0,0
27999,44435,Secret Extract,American Pale Ale,10,4.35,36.67,5.0,Pale Ale,2,5
44533,71433,Milk Maid,American Porter,11,8.02,66.51,17.0,Stout/Porter,5,4
24203,38280,Bits and bobs ipa,American IPA,7,5.56,60.85,6.14,Pale Ale,2,5
28356,45021,Belgian Blond ale,Belgian Blond Ale,20,6.47,21.12,6.0,Pale Lager/Blonde Ale,1,1
34479,54966,Desir tripel,Belgian Tripel,26,8.66,50.64,7.07,Pale Ale,2,5
27851,44202,Ides of marzen,Oktoberfest/Märzen,115,5.13,24.18,6.0,Pale Lager/Blonde Ale,1,1
22987,36298,English Pale Ale II,Standard/Ordinary Bitter,157,5.64,55.2,7.16,Pale Ale,2,5
9213,14041,Gropecuntelane,Foreign Extra Stout,72,5.86,47.95,47.37,Stout/Porter,5,4
26036,41250,Wop Wops IPA,American IPA,7,6.03,56.32,9.02,Pale Ale,2,5
43507,69735,Batch #2,Imperial IPA,86,8.6,85.23,8.03,Pale Ale,2,5
27390,43437,American Blonde and round,American Pale Ale,10,5.0,30.0,5.0,Pale Ale,2,5
22638,35734,Baltisk Porter,Baltic Porter,19,6.77,28.1,30.07,Stout/Porter,5,4
29474,46797,Fairly Standard Amber Ale,American Amber Ale,4,5.42,30.0,15.0,Pale Ale,2,5
35126,56000,Dale's Clone,American Pale Ale,10,6.12,49.17,9.74,Pale Ale,2,5
14932,23164,Slims,Cream Ale,45,4.76,20.13,4.42,Pale Lager/Blonde Ale,1,1
1535,2153,Citrus IPA,American IPA,7,5.83,63.5,5.0,Pale Ale,2,5
45134,72379,Yellow Gold Dust,American IPA,7,5.17,40.18,5.83,Pale Ale,2,5
21524,33861,Guildford Ct Saison,Belgian Pale Ale,24,6.87,48.58,5.0,Pale Ale,2,5
6307,9330,Skeleton key lime,Weizen/Weissbier,170,8.28,10.23,4.73,Wheat,0,0
13803,21346,Landlord clone,Best Bitter,28,4.31,37.98,5.44,Pale Ale,2,5
14028,21711,Remedy,American IPA,7,6.2,71.06,8.89,Pale Ale,2,5
3652,5251,Coffee Cream Ale,Cream Ale,45,4.5,26.16,4.21,Pale Lager/Blonde Ale,1,1
18813,29417,1485,Strong Bitter,159,4.76,30.67,15.0,Pale Ale,2,5
22724,35862,Throttle Out IPA,American IPA,7,5.91,86.11,5.0,Pale Ale,2,5
29186,46342,Lucy Purr's Devilish Red #3,American Amber Ale,4,5.37,53.43,14.74,Pale Ale,2,5
44656,71622,Wood Stone Red Pacific Pale Ale,American Pale Ale,10,4.25,30.0,11.53,Pale Ale,2,5
3647,5245,Warrior Poet Wee Heavy,Strong Scotch Ale,160,9.38,65.35,13.1,Strong Ale,3,3
27595,43783,Xmas pale,Blonde Ale,30,5.27,15.22,5.51,Pale Lager/Blonde Ale,1,1
3215,4621,Best Oatmeal Southern Stout (BOSS),Oatmeal Stout,114,5.49,37.77,34.86,Stout/Porter,5,4
16622,25866,Citrillo the younger,Double IPA,56,8.04,99.92,8.48,Pale Ale,2,5
32693,52121,Fredde NEIPA,American Light Lager,9,6.4,28.0,6.0,Pale Lager/Blonde Ale,1,1
44111,70738,Oatmeal Stout ACT 20/1/18,Oatmeal Stout,114,5.08,27.17,34.67,Stout/Porter,5,4
10815,16609,Centennial ale,American Pale Ale,10,6.19,30.0,6.33,Pale Ale,2,5
35075,55924,Belgian Tripel 514,Belgian Tripel,26,8.68,40.56,5.0,Pale Ale,2,5
9526,14569,American Black Ale (2015),American IPA,7,6.9,72.71,15.0,Pale Ale,2,5
21147,33216,Sunshine #8,Imperial IPA,86,5.05,85.98,8.03,Pale Ale,2,5
44342,71117,Mac's - Gloves Off Clementine IPA,American IPA,7,4.71,49.49,9.55,Pale Ale,2,5
5714,8412,Ackbar's Oatmeal,American Stout,12,5.64,40.3,40.0,Stout/Porter,5,4
7313,10983,Sommar-IPA 2014,American Pale Ale,10,6.61,90.0,15.0,Pale Ale,2,5
40686,65043,Tagami Best Bitter,Strong Bitter,159,4.66,31.25,9.67,Pale Ale,2,5
36832,58716,Sunny Blonde Ale,Blonde Ale,30,4.52,17.52,3.99,Pale Lager/Blonde Ale,1,1
41909,67029,Acrimonious I'm Not a Monk Belgian 12,Belgian Dark Strong Ale,21,9.22,25.21,22.0,Strong Ale,3,3
16525,25717,Spring is in Session IPA,American IPA,7,4.64,68.6,7.05,Pale Ale,2,5
39216,62606,Les Présidents,American IPA,7,5.15,79.28,8.42,Pale Ale,2,5
44026,70601,Ryebellion Porter,American Porter,11,6.37,34.56,36.2,Stout/Porter,5,4
4053,5855,Frankie's Cream Ale,Cream Ale,45,5.4,20.78,3.54,Pale Lager/Blonde Ale,1,1
42426,67889,Citraweiss,Weissbier,169,5.21,19.37,4.46,Wheat,0,0
44315,71072,Fores Pale Ale,American Pale Ale,10,4.99,30.0,5.0,Pale Ale,2,5
45258,72573,Stouty Mc stout face V1,Foreign Extra Stout,72,7.4,52.65,36.45,Stout/Porter,5,4
20957,32919,LIP GRIND Transatlantic Pale Ale Mk3,Extra Special/Strong Bitter (ESB),68,4.97,69.59,6.34,Pale Ale,2,5
25181,39881,West Coast HOP SAUCE,American IPA,7,6.94,64.47,11.37,Pale Ale,2,5
36678,58490,Steph's Creamy Ale,Cream Ale,45,4.87,18.89,4.11,Pale Lager/Blonde Ale,1,1
44450,71300,Grunion,American Pale Ale,10,5.67,35.55,6.25,Pale Ale,2,5
5101,7428,Debzi Do  I Do Brew Just For You!!!,American IPA,7,5.07,96.96,5.0,Pale Ale,2,5
42581,68153,Planet Fuggles IIPA,Imperial IPA,86,8.04,48.87,8.89,Pale Ale,2,5
40851,65287,NZ Fitness tripel,Belgian Tripel,26,9.73,30.0,5.22,Pale Ale,2,5
13901,21504,A Shot in the Dark Stout,American Porter,11,4.09,90.0,50.0,Stout/Porter,5,4
16903,26311,Citrus IPA (galaxy warrior),Double IPA,56,8.87,90.0,9.04,Pale Ale,2,5
5924,8723,Dreaded Kölsch #2,Kölsch,94,6.4,24.47,4.73,Pale Lager/Blonde Ale,1,1
45291,72627,Heart of Darkness,Foreign Extra Stout,72,8.04,40.93,50.0,Stout/Porter,5,4
40102,64054,Thunderstruck Pumpkin Ale AG MH,American Amber Ale,4,5.16,30.0,15.0,Pale Ale,2,5
245,318,Extract White IPA,American IPA,7,7.05,90.86,5.87,Pale Ale,2,5
5483,8034,Raspberry Robust Porter BCS,Robust Porter,129,5.84,22.62,30.88,Stout/Porter,5,4
5324,7762,Coconut IPA,American Pale Ale,10,5.17,44.46,5.51,Pale Ale,2,5
30727,48864,Scraps PALE,American Pale Ale,10,4.92,39.67,8.87,Pale Ale,2,5
30070,47790,Milk Stout w/ Winter Spices,American Stout,12,6.47,25.79,43.84,Stout/Porter,5,4
29209,46379,Extra IPA - 9 Gallons,American IPA,7,8.06,90.0,8.82,Pale Ale,2,5
29151,46293,Junizenbier,Oktoberfest/Märzen,115,6.4,28.0,6.0,Pale Lager/Blonde Ale,1,1
39303,62742,#029 PINKMAGGIT Brewing Polyrhythm IPA,American IPA,7,5.68,68.07,5.0,Pale Ale,2,5
8800,13359,ABC India Red Ale,American IPA,7,7.24,45.43,15.0,Pale Ale,2,5
11731,18079,Portier IV,American Porter,11,6.46,29.83,24.58,Stout/Porter,5,4
26921,42665,Day Tripper,American Pale Ale,10,5.71,35.31,5.5,Pale Ale,2,5
34119,54394,Huckleberry hound,Blonde Ale,30,6.2,19.03,5.17,Pale Lager/Blonde Ale,1,1
36190,57708,Left over ale,American Porter,11,6.86,43.33,42.47,Stout/Porter,5,4
13145,20289,T-B Pilsner,German Pils,80,4.98,28.0,3.58,Pale Lager/Blonde Ale,1,1
18797,29398,Blood Orange German Wheat,Weissbier,169,5.41,26.59,3.73,Wheat,0,0
13811,21364,Kohatu El Dorado APA,American Pale Ale,10,5.89,90.0,11.75,Pale Ale,2,5
34048,54286,Hop Ottin' IPA Clone,American IPA,7,7.6,90.0,8.05,Pale Ale,2,5
5277,7698,Hazy Hop Bomb (NEIPA),American IPA,7,6.15,58.65,5.0,Pale Ale,2,5
24549,38831,Grýla MMXVII,Imperial Stout,87,9.26,61.94,50.0,Stout/Porter,5,4
707,961,Light spring rye pale part 2,American Pale Ale,10,4.96,35.22,6.5,Pale Ale,2,5
16047,24920,Tarwe,Witbier,175,5.22,30.0,3.99,Wheat,0,0
23585,37235,East MIdlands Ale,Best Bitter,28,4.37,30.0,12.0,Pale Ale,2,5
14527,22536,Brown Porter - Brown Malt,English Porter,66,4.57,39.78,29.96,Stout/Porter,5,4
36581,58336,Half Nelson,Berliner Weisse,27,3.3,1.8,2.07,Wheat,0,0
1578,2218,Nomadic Brewing - Tropical Depression,American IPA,7,7.53,90.0,9.34,Pale Ale,2,5
40016,63907,Belgian golden strong ale,Belgian Golden Strong Ale,23,8.2,20.0,5.03,Strong Ale,3,3
2524,3579,Honey Brown Ale,American Brown Ale,6,5.64,37.4,21.02,Brown Ale,4,2
59,74,1664 Blanc Clone,Witbier,175,5.87,23.21,3.11,Wheat,0,0
11067,17023,20150121_pa_espb_01,American Pale Ale,10,5.69,38.42,12.12,Pale Ale,2,5
1419,1986,Hoppin' Fresh Pale Ale,American Pale Ale,10,5.23,60.25,8.0,Pale Ale,2,5
10597,16239,Diesel's Baltic Porter,Baltic Porter,19,10.23,41.13,24.02,Stout/Porter,5,4
16151,25091,Panty Dropper,Strong Scotch Ale,160,8.74,34.22,22.0,Strong Ale,3,3
7260,10899,Lemon Dropper,American Pale Ale,10,5.53,60.33,5.0,Pale Ale,2,5
44700,71685,B.Weizien - extract,Weissbier,169,5.1,15.26,3.77,Wheat,0,0
10769,16523,Hopfenmeister,American IPA,7,6.6,38.97,5.56,Pale Ale,2,5
16321,25367,MY OWN - YOOPERS OATMEAL STOUT,Dry Stout,58,5.99,44.37,30.84,Stout/Porter,5,4
38844,61995,Mangapa da jamaica,American Pale Ale,10,5.51,33.96,13.51,Pale Ale,2,5
21903,34494,Sner,Classic American Pilsner,40,5.71,23.29,4.56,Pale Lager/Blonde Ale,1,1
925,1262,SimCity (Simcoe Pale Ale),American Pale Ale,10,7.14,66.4,7.69,Pale Ale,2,5
1362,1904,Simple Cascade IPA - One Gallon,American IPA,7,8.21,43.46,13.55,Pale Ale,2,5
42411,67858,Cerveza belga,Belgian Dubbel,22,6.0,20.0,22.0,Strong Ale,3,3
39680,63367,CHOO Blonde Ale,Blonde Ale,30,4.87,19.99,5.63,Pale Lager/Blonde Ale,1,1
19980,31316,Smooth Ale  v2,American Amber Ale,4,4.94,30.0,8.87,Pale Ale,2,5
16717,26007,1125 Pale Ale ver3 4/1-17,American Pale Ale,10,5.04,43.35,6.41,Pale Ale,2,5
38336,61175,Esp bcs,British Strong Ale,36,6.12,46.92,8.35,Strong Ale,3,3
39034,62292,Zach's Milk Stout,Sweet Stout,162,5.34,40.43,50.0,Stout/Porter,5,4
20147,31607,Bertus IPA,American IPA,7,7.29,93.48,7.52,Pale Ale,2,5
41174,65807,NE juicy IPA,American IPA,7,5.44,59.27,9.1,Pale Ale,2,5
34070,54320,KELLERPILS V3,German Pils,80,5.2,28.0,3.79,Pale Lager/Blonde Ale,1,1
19270,30159,Fresh cascade ryePa,American IPA,7,5.94,31.07,15.0,Pale Ale,2,5
18254,28510,Heavy Scotch Ale,Strong Scotch Ale,160,9.04,36.8,20.79,Strong Ale,3,3
42572,68138,West Coast Pale Ale Gluten Free,American Pale Ale,10,5.98,90.0,9.26,Pale Ale,2,5
3575,5141,Old Shatterhand,Robust Porter,129,8.39,40.92,26.74,Stout/Porter,5,4
17550,27348,GREEN FLASH,American IPA,7,8.1,90.0,8.26,Pale Ale,2,5
22920,36184,Sawzall IPA,American IPA,7,5.94,69.22,6.12,Pale Ale,2,5
32045,51097,Sjokoladifisert sjokoladestout,Sweet Stout,162,5.06,30.48,32.21,Stout/Porter,5,4
28452,45180,Pig Pils,German Pilsner (Pils),81,4.65,27.91,3.37,Pale Lager/Blonde Ale,1,1
35265,56225,Espresso Imperial Stout,Imperial Stout,87,9.16,68.88,32.93,Stout/Porter,5,4
25819,40920,Around Brown Bitter,Ordinary Bitter,118,3.28,34.37,12.56,Pale Ale,2,5
2144,3040,Black Balls IPA,American IPA,7,7.69,44.27,15.0,Pale Ale,2,5
2167,3072,Maple Imperial Breakfast Stout,Imperial Stout,87,11.99,62.85,50.0,Stout/Porter,5,4
17803,27750,Brian's Bee's Lager,International Pale Lager,90,4.61,24.23,3.13,Pale Lager/Blonde Ale,1,1
45489,72975,IP adress,American IPA,7,6.78,64.84,5.0,Pale Ale,2,5
29979,47629,Amaison Saison,Saison,134,6.08,30.0,6.79,Pale Ale,2,5
39823,63593,Bakke Brygg Mørk Bitter 50 L,Extra Special/Strong Bitter (ESB),68,5.29,30.0,13.36,Pale Ale,2,5
15058,23347,Maelstrom IPA,Imperial IPA,86,7.43,90.0,14.52,Pale Ale,2,5
41440,66256,Blue moon clone,American Wheat Beer,14,5.4,19.45,5.06,Wheat,0,0
40121,64090,Rob's Smoked Porter,Baltic Porter,19,7.0,37.54,21.13,Stout/Porter,5,4
45162,72420,APA Standard,American Pale Ale,10,5.66,90.0,9.56,Pale Ale,2,5
33232,52963,Rysvea APA,American Pale Ale,10,6.4,31.52,10.73,Pale Ale,2,5
37850,60375,Fruity goodness,Saison,134,7.15,30.0,15.0,Pale Ale,2,5
16327,25380,Ruby Red Ale Tier 9 AF,American IPA,7,7.92,55.46,15.0,Pale Ale,2,5
36354,57978,La Rousse,American Amber Ale,4,4.94,30.91,14.15,Pale Ale,2,5
29913,47521,Aston villa holte suitre ipa,American IPA,7,4.8,55.15,15.0,Pale Ale,2,5
20498,32177,NoSweet Day - Session IPA,American IPA,7,5.67,82.49,6.19,Pale Ale,2,5
2205,3122,IPA Tropical,English IPA,65,5.82,76.15,9.53,Pale Ale,2,5
35797,57090,4 to 13,International Pale Lager,90,4.68,18.1,4.26,Pale Lager/Blonde Ale,1,1
34706,55333,Hop gravy,American Light Lager,9,5.72,25.5,3.89,Pale Lager/Blonde Ale,1,1
34405,54853,Tax Refund Amber Ale,American Amber Ale,4,5.37,30.0,15.0,Pale Ale,2,5
36017,57442,Big Angus,American IPA,7,6.51,83.13,7.57,Pale Ale,2,5
25323,40107,4c's oat pale ale,American Pale Ale,10,5.32,34.82,11.95,Pale Ale,2,5
16017,24868,Double Sunshine (Lawsons clone),Double IPA,56,8.24,90.0,6.93,Pale Ale,2,5
29803,47340,Amber bastard,American Amber Ale,4,5.73,38.61,15.0,Pale Ale,2,5
37844,60365,CCB - Lucky 7 & Lucky 7 Mango Edition,American Pale Ale,10,5.16,37.66,6.79,Pale Ale,2,5
41460,66288,Thyme Ale,American Pale Ale,10,5.52,33.95,5.0,Pale Ale,2,5
22805,35998,Monkeyman pale,American Pale Ale,10,6.08,38.2,6.34,Pale Ale,2,5
11943,18420,Single Infusion Kölsch,Kölsch,94,5.09,19.32,3.29,Pale Lager/Blonde Ale,1,1
13520,20898,MP collab southbridge,American IPA,7,5.87,90.0,5.0,Pale Ale,2,5
12766,19706,Sustenance,American IPA,7,6.46,40.57,8.98,Pale Ale,2,5
44201,70877,Pineapple ipa,American IPA,7,7.16,83.04,5.0,Pale Ale,2,5
41380,66148,Hop Test APA: Ekuanot,American Pale Ale,10,6.17,40.53,5.65,Pale Ale,2,5
16973,26417,Super Chinook IPA,American IPA,7,5.4,76.15,6.55,Pale Ale,2,5
40904,65376,BDT 220 N.E. I.P.A.,American IPA,7,6.07,52.89,6.06,Pale Ale,2,5
23044,36391,House Blonde,Blonde Ale,30,4.8,23.52,4.2,Pale Lager/Blonde Ale,1,1
17589,27408,Session Black IPL,Light American Lager,100,3.4,28.0,6.0,Pale Lager/Blonde Ale,1,1
6677,9938,Calculation,American Amber Ale,4,5.11,32.51,11.05,Pale Ale,2,5
28070,44553,Coffee up that Porter,Baltic Porter,19,8.33,72.86,50.0,Stout/Porter,5,4
12328,19014,Bruiser's Legally Blonde Ale,Blonde Ale,30,5.04,15.08,6.0,Pale Lager/Blonde Ale,1,1
38116,60808,Cranked Cream Ale,Cream Ale,45,5.31,12.91,4.44,Pale Lager/Blonde Ale,1,1
561,747,Sierra nevada pale ale clone,American IPA,7,5.96,54.07,10.44,Pale Ale,2,5
27357,43389,NB Slobber,Southern English Brown,143,4.74,25.35,20.81,Brown Ale,4,2
1522,2130,NB Schwartzbier Smoked Partial,Schwarzbier,135,5.45,34.42,27.41,Stout/Porter,5,4
26815,42500,Floripon - Saison,Saison,134,8.59,30.0,10.62,Pale Ale,2,5
29271,46475,Wheat Beer No-Chill,Weissbier,169,4.65,13.93,4.03,Wheat,0,0
6446,9564,Sorachi Ace Raspberry Sour,Berliner Weisse,27,3.92,8.71,2.69,Wheat,0,0
33795,53858,Gametime Ale,Double IPA,56,7.73,90.0,5.56,Pale Ale,2,5
